id,respuesta,comuna,canal,grupo_edad
REC-0022,"HAY QUE EDUCAR, AUNQUE TAMBIÉN FACILITAR EL SISTEMA; NO PUEDE DEPENDER SOLO DE LA BUENA VOLUNTAD.",Lo Espejo,buzón_vecinal,30-44
REC-0023,NO VOY A SEPARAR MIENTRAS LAS EMPRESAS SIGAN LLENANDO TODO DE PLÁSTICO; NO CARGUEN LA RESPONSABILIDAD AL VECINO.,Quilicura,consulta_web,18-29
REC-0024,Prefiero que cobren a quienes producen envases antes que hacer otra campaña para culpabilizar a la gente.,Paine,formulario_papel,60+
REC-0025,"La compostera ayuda a la huerta, pero el olor tiene chatos a los vecinos.",Pudahuel,cabildo,30-44
REC-0026,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,La Pintana,cabildo,18-29
REC-0027,"Separar sirve, supongo, aunque después el camión junta todo y uno queda de payaso.",Paine,formulario_papel,18-29
REC-0028,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",,buzón_vecinal,
REC-0029,Integren a los recicladores al sistema formal y paguen por el servicio.,,cabildo,
REC-0030,Los recicladores de base hacen una pega enorme y deberían tener apoyo municipal.,Cerro Navia,buzón_vecinal,18-29
REC-0031,"Hay que educar, aunque también facilitar el sistema; no puede depender solo de la buena voluntad.",San Joaquín,formulario_papel,45-59
REC-0032,Quiero saber por los talleres deportivos.,La Pintana,cabildo,45-59
REC-0033,"La compostera ayuda a la huerta, pero el olor tiene chatos a los vecinos.",,consulta_web,
REC-0034,Pongan barreras o cámaras porque ese vertedero ilegal crece cada semana.,Renca,consulta_web,30-44
REC-0035,-,San Joaquín,formulario_papel,60+
REC-0036,El contenedor nuevo funciona bien ojalá lo retiren antes de que colapse.,El Bosque,cabildo,30-44
REC-0037,"La feria de intercambio fue excelente, me gustaría que fuera mensual.",Maipú,formulario_papel,18-29
REC-0038,Deberían avisar los horarios por WhatsApp porque uno nunca sabe cuándo sacar el reciclaje.,Cerro Navia,formulario_papel,18-29
REC-0039,No voy a separar mientras las empresas sigan llenando todo de plástico; no carguen la responsabilidad al vecino.,Huechuraba,whatsapp_municipal,45-59
REC-0040,"Faltan contenedores para vidrio en pasaje Las Lilas, el más cercano queda lejísimos.",Recoleta,formulario_papel,45-59
REC-0041,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada!!!",La Florida,whatsapp_municipal,30-44
REC-0042,"RECICLAR ESTÁ BIEN, PERO PRIMERO DEBERÍAMOS REDUCIR ENVASES Y REUTILIZAR.",San José de Maipo,buzón_vecinal,45-59
REC-0043,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,Recoleta,cabildo,18-29
REC-0044,"Reciclar está bien, pero primero deberíamos reducir envases y reutilizar.",Huechuraba,consulta_web,30-44
REC-0045,Cuando el camión cumple el horario se nota mucho más limpio el barrio.,Renca,formulario_papel,18-29
REC-0046,Cuando el camión cumple el horario se nota mucho más limpio el barrio.,,whatsapp_municipal,
REC-0047,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito!!!",Maipú,cabildo,45-59
REC-0048,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",Pudahuel,buzón_vecinal,30-44
REC-0049,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,,cabildo,
REC-0050,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito.",Renca,whatsapp_municipal,60+
REC-0051,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito.",,whatsapp_municipal,
REC-0052,Hace falta un lugar para dejar muebles que todavía sirven.,Quilicura,consulta_web,45-59
REC-0053,"La muni limpia el microbasural y a los tres días está igual, falta fiscalización.",,buzón_vecinal,
REC-0054,"Reciclar está bien, pero primero deberíamos reducir envases y reutilizar.",,consulta_web,
REC-0055,Cuando el camión cumple el horario se nota mucho más limpio el barrio.,,formulario_papel,
REC-0056,,San Joaquín,cabildo,18-29
REC-0057,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos. Mi vecino María González puede confirmar esto.,Lo Espejo,cabildo,18-29
REC-0058,No voy a separar mientras las empresas sigan llenando todo de plástico; no carguen la responsabilidad al vecino.,La Pintana,formulario_papel,45-59
REC-0059,Los puntos limpios son greenwashing si después mezclan todo en el mismo camión.,Paine,consulta_web,18-29
REC-0060,Necesitamos más áreas verdes.,Santiago,consulta_web,18-29
REC-0061,hace falta un lugar para dejar muebles que todavía sirven.,Estación Central,consulta_web,60+
REC-0062,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito.",Santiago,whatsapp_municipal,60+
REC-0063,"La compostera ayuda a la huerta, pero el olor tiene chatos a los vecinos.",,cabildo,
REC-0064,quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos. Esto pasa frente a Santa Rosa 4605.,Recoleta,consulta_web,30-44
REC-0065,integren a los recicladores al sistema formal y paguen por el servicio.,,buzón_vecinal,
REC-0066,Los recicladores de base hacen una pega enorme y deberían tener apoyo municipal.,,consulta_web,
REC-0067,La atención del consultorio está muy lenta.,,whatsapp_municipal,
REC-0068,Hay gente que viene de otras comunas a dejar basura en la esquina.,Recoleta,buzón_vecinal,45-59
REC-0069,La atención del consultorio está muy lenta.,,consulta_web,
REC-0070,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada.",San José de Maipo,cabildo,18-29
REC-0071,"El punto limpio siempre está lleno, al final la gente deja todo afuera!!!",Puente Alto,formulario_papel,45-59
REC-0072,Cuando el camión cumple el horario se nota mucho más limpio el barrio.,Recoleta,buzón_vecinal,60+
REC-0073,Prefiero que cobren a quienes producen envases antes que hacer otra campaña para culpabilizar a la gente.,,whatsapp_municipal,
REC-0074,Hay gente que viene de otras comunas a dejar basura en la esquina.,Paine,consulta_web,30-44
REC-0075,PONGAN BARRERAS O CÁMARAS PORQUE ESE VERTEDERO ILEGAL CRECE CADA SEMANA.,San José de Maipo,buzón_vecinal,60+
REC-0076,Pongan barreras o cámaras porque ese vertedero ilegal crece cada semana.,,buzón_vecinal,
REC-0077,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada. Me pueden llamar al +569 1061 9688.",Recoleta,formulario_papel,18-29
REC-0078,"Faltan contenedores para vidrio en feria de los sábados, el más cercano queda lejísimos.",,whatsapp_municipal,
REC-0079,En el sitio eriazo de pasaje Las Lilas botan colchones y escombros todas las noches!!!,Puente Alto,buzón_vecinal,60+
REC-0080,"Hay conflicto por el ruido de los carros temprano, se necesita acordar horarios.",Huechuraba,buzón_vecinal,60+
REC-0081,"Probé compostaje en la casa y funciona, falta enseñar bien para que no quede la caga.",,consulta_web,
REC-0082,Pusieron un punto limpio pero está mal ubicado y casi nadie sabe que existe.,Quilicura,buzón_vecinal,30-44
REC-0083,"El contenedor nuevo funciona bien, ojalá lo retiren antes de que colapse.",Santiago,whatsapp_municipal,18-29
REC-0084,Pongan barreras o cámaras porque ese vertedero ilegal crece cada semana.,Cerro Navia,consulta_web,45-59
REC-0085,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,Recoleta,formulario_papel,45-59
REC-0086,¿Cuándo arreglan la vereda de mi calle?,Lo Espejo,cabildo,45-59
REC-0087,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,Puente Alto,buzón_vecinal,30-44
REC-0088,Hace falta un lugar para dejar muebles que todavía sirven.,Quilicura,buzón_vecinal,30-44
REC-0089,"Reciclar está bien, pero primero deberíamos reducir envases y reutilizar.",La Florida,whatsapp_municipal,45-59
REC-0090,"Faltan contenedores para vidrio en cancha del barrio, el más cercano queda lejísimos.",San Joaquín,buzón_vecinal,60+
REC-0091,Hay gente que viene de otras comunas a dejar basura en la esquina.,Cerro Navia,cabildo,45-59
REC-0092,PUSIERON UN PUNTO LIMPIO PERO ESTÁ MAL UBICADO Y CASI NADIE SABE QUE EXISTE. Mi vecino Camila Rojas puede confirmar esto.,Paine,formulario_papel,45-59
REC-0093,"Separar sirve, supongo, aunque después el camión junta todo y uno queda de payaso.",Quilicura,buzón_vecinal,30-44
REC-0094,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",,cabildo,
REC-0095,"La compostera comunitaria es buena idea, pero hay que controlar olores y moscas.",La Florida,cabildo,60+
REC-0096,"Probé compostaje en la casa y funciona, falta enseñar bien para que no quede la caga. Dejé el reclamo a nombre de Camila Rojas, RUT 23.302.366-4.",Recoleta,whatsapp_municipal,45-59
REC-0097,En el sitio eriazo de paradero 14 botan colchones y escombros todas las noches!!!,Quilicura,consulta_web,60+
REC-0098,"Buen día, no tengo comentarios.",La Florida,buzón_vecinal,60+
REC-0099,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",Renca,formulario_papel,30-44
REC-0100,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,,formulario_papel,
REC-0101,El camión pasa cuando quiere y las bolsas quedan dos días en la calle. Me pueden llamar al +569 8331 9323.,Maipú,whatsapp_municipal,30-44
REC-0102,"Hay que educar, aunque también facilitar el sistema; no puede depender solo de la buena voluntad.",Paine,formulario_papel,30-44
REC-0103,Pusieron un punto limpio pero está mal ubicado y casi nadie sabe que existe.,La Pintana,formulario_papel,30-44
REC-0104,Los recicladores de base hacen una pega enorme y deberían tener apoyo municipal.,Puente Alto,buzón_vecinal,18-29
REC-0105,Integren a los recicladores al sistema formal y paguen por el servicio!!!,Paine,buzón_vecinal,18-29
REC-0106,"Probé compostaje en la casa y funciona, falta enseñar bien para que no quede la caga.",San José de Maipo,buzón_vecinal,45-59
REC-0107,Pusieron un punto limpio pero está mal ubicado y casi nadie sabe que existe.,Puente Alto,formulario_papel,30-44
REC-0108,"Hay conflicto por el ruido de los carros temprano, se necesita acordar horarios.",El Bosque,buzón_vecinal,18-29
REC-0109,"En mi casa separamos hace años, pero varios vecinos todavía tiran todo junto.",Renca,formulario_papel,18-29
REC-0110,"Hay que educar, aunque también facilitar el sistema; no puede depender solo de la buena voluntad.",La Pintana,cabildo,18-29
REC-0111,Hay gente que viene de otras comunas a dejar basura en la esquina.,Estación Central,consulta_web,18-29
REC-0112,Hace falta un lugar para dejar muebles que todavía sirven.,Santiago,consulta_web,18-29
REC-0113,Deberían avisar los horarios por WhatsApp porque uno nunca sabe cuándo sacar el reciclaje.,Lo Espejo,formulario_papel,45-59
REC-0114,"Probé compostaje en la casa y funciona, falta enseñar bien para que no quede la caga.",Lo Espejo,consulta_web,60+
REC-0115,"Probé compostaje en la casa y funciona, falta enseñar bien para que no quede la caga.",Puente Alto,buzón_vecinal,45-59
REC-0116,El camión pasa cuando quiere y las bolsas quedan dos días en la calle. Me pueden llamar al +569 1359 5570.,Renca,cabildo,30-44
REC-0117,"Hay conflicto por el ruido de los carros temprano, se necesita acordar horarios.",Cerro Navia,consulta_web,60+
REC-0118,Integren a los recicladores al sistema formal y paguen por el servicio.,Puente Alto,consulta_web,30-44
REC-0119,Hace falta un lugar para dejar muebles que todavía sirven.,El Bosque,buzón_vecinal,45-59
REC-0120,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada. Esto pasa frente a Vicuña Mackenna 1769.",Paine,consulta_web,30-44
REC-0121,"el retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito.",,buzón_vecinal,
REC-0122,Pongan barreras o cámaras porque ese vertedero ilegal crece cada semana.,La Florida,whatsapp_municipal,45-59
REC-0123,La gente mezcla todo porque nadie explica qué va en cada contenedor.,La Florida,whatsapp_municipal,45-59
REC-0124,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,Estación Central,cabildo,60+
REC-0125,Pongan barreras o cámaras porque ese vertedero ilegal crece cada semana.,El Bosque,formulario_papel,18-29
REC-0126,"El contenedor nuevo funciona bien, ojalá lo retiren antes de que colapse.",,formulario_papel,
REC-0127,"Reciclar ta bien, pero primero deberíamos reducir envases y reutilizar.",Quilicura,cabildo,45-59
REC-0128,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",,formulario_papel,
REC-0129,No voy a separ mientras las empresas sigan llenando todo de plástico; no carguen la responsabilidad al vecino.,Puente Alto,whatsapp_municipal,60+
REC-0130,Gracias por escuchar a los vecinos.,,consulta_web,
REC-0131,"La feria de intercambio fue excelente, me gustaría que fuera mensual.",La Pintana,whatsapp_municipal,30-44
REC-0132,"En mi casa separamos hace años, pero varios vecinos todavía tiran todo junto.",,formulario_papel,
REC-0133,En el sitio eriazo de plaza Los Copihues botan colchones y escombros todas las noches.,San José de Maipo,formulario_papel,18-29
REC-0134,Hay gente que viene de otras comunas a dejar basura en la esquina. Mi vecino Patricia Muñoz puede confirmar esto.,San José de Maipo,buzón_vecinal,30-44
REC-0135,"EL CARTONERO DEJA DESORDEN CUANDO REVISA LAS BOLSAS, PERO QUITARLO NO RESUELVE NADA.",Lo Espejo,consulta_web,18-29
REC-0136,El punto limpio está impecable porque nadie lo usa: queda lejos y nunca explicaron qué recibe.,Huechuraba,cabildo,18-29
REC-0137,"EL PUNTO LIMPIO SIEMPRE ESTÁ LLENO, AL FINAL LA GENTE DEJA TODO AFUERA.",La Florida,consulta_web,18-29
REC-0138,s/i,Cerro Navia,formulario_papel,45-59
REC-0139,,Lo Espejo,cabildo,45-59
REC-0140,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada.",La Florida,cabildo,18-29
REC-0141,La gente mezcla todo porque nadie explica qué va en cada contenedor.,Peñalolén,whatsapp_municipal,30-44
REC-0142,"La compostera comunitaria es buena idea, pero hay que controlar olores y moscas.",Pudahuel,cabildo,45-59
REC-0143,Deberían avisar los horarios por WhatsApp porque uno nunca sabe cuándo sacar el reciclaje.,Peñalolén,cabildo,18-29
REC-0144,Pongan barreras o cámaras porque ese vertedero ilegal crece cada semana.,La Florida,formulario_papel,45-59
REC-0145,PUSIERON UN PUNTO LIMPIO PERO ESTÁ MAL UBICADO Y CASI NADIE SABE QUE EXISTE. Mi vecino Patricia Muñoz puede confirmar esto.,,cabildo,
REC-0146,PUSIERON UN PUNTO LIMPIO PERO ESTÁ MAL UBICADO Y CASI NADIE SABE QUE EXISTE. Mi vecino Camila Rojas puede confirmar esto.,Renca,whatsapp_municipal,18-29
REC-0147,"Probé compostaje en la casa y funciona, falta enseñar bien para que no quede la caga.",,buzón_vecinal,
REC-0148,"Hay que educar, aunque también facilitar el sistema; no puede depender solo de la buena voluntad.",Recoleta,buzón_vecinal,45-59
REC-0149,La gente mezcla todo porque nadie explica qué va en cada contenedor.,,consulta_web,
REC-0150,"Faltan contenedores para vidrio en paradero 14, el más cercano queda lejísimos.",Recoleta,buzón_vecinal,18-29
REC-0151,En el sitio eriazo de cancha del barrio botan colchones y escombros todas las noches.,,formulario_papel,
REC-0152,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",Santiago,cabildo,18-29
REC-0153,"La feria de intercambio fue excelente, me gustaría que fuera mensual.",Quilicura,buzón_vecinal,30-44
REC-0154,"La compostera comunitaria es buena idea, pero hay que controlar olores y moscas.",,cabildo,
REC-0155,"En mi casa separamos hace años, pero varios vecinos todavía tiran todo junto.",Cerro Navia,buzón_vecinal,45-59
REC-0156,"Probé compostaje en la casa y funciona, falta enseñar bien para que no quede la caga.",La Pintana,formulario_papel,60+
REC-0157,"FALTAN CONTENEDORES PARA VIDRIO EN VILLA EL SOL, EL MÁS CERCANO QUEDA LEJÍSIMOS.",La Florida,cabildo,60+
REC-0158,El punto limpio está impecable porque nadie lo usa: queda lejos y nunca explicaron qué recibe.,Huechuraba,buzón_vecinal,45-59
REC-0159,"La muni limpia el microbasural y a los tres días está igual, falta fiscalización.",San Joaquín,formulario_papel,30-44
REC-0160,Pusieron un punto limpio pero está mal ubicado y casi nadie sabe que existe.,San José de Maipo,whatsapp_municipal,60+
REC-0161,EL CAMIÓN PASA CUANDO QUIERE Y LAS BOLSAS QUEDAN DOS DÍAS EN LA CALLE.,San Joaquín,cabildo,18-29
REC-0162,"Hay que educar, aunque también facilitar el sistema; no puede depender solo de la buena voluntad.",,formulario_papel,
REC-0163,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",,buzón_vecinal,
REC-0164,"La muni limpia el microbasural y a los tres días está igual, falta fiscalización.",,whatsapp_municipal,
REC-0165,"El punto limpio siempre está lleno, al final la gente deja todo afuera.",Pudahuel,whatsapp_municipal,45-59
REC-0166,"La compostera ayuda a la huerta, pero el olor tiene chatos a los vecinos.",,consulta_web,
REC-0167,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",La Pintana,formulario_papel,45-59
REC-0168,"Hay que educar, aunque también facilitar el sistema; no puede depender solo de la buena voluntad.",El Bosque,consulta_web,30-44
REC-0169,"Reciclar está bien, pero primero deberíamos reducir envases y reutilizar!!!",,buzón_vecinal,
REC-0170,"Hay conflicto por el ruido de los carros temprano, se necesita acordar horarios.",San Joaquín,consulta_web,30-44
REC-0171,Los puntos limpios son greenwashing si después mezclan todo en el mismo camión.,San Joaquín,whatsapp_municipal,60+
REC-0172,"El contenedor nuevo funciona bien, ojalá lo retiren antes de que colapse.",Pudahuel,consulta_web,30-44
REC-0173,El camión pasa cuando quiere y las bolsas quedan dos días en la calle. Me pueden llamar al +569 1359 5570.,El Bosque,whatsapp_municipal,60+
REC-0174,s/i,,buzón_vecinal,
REC-0175,Deberían avisar los horarios por WhatsApp porque uno nunca sabe cuándo sacar el reciclaje.,,cabildo,
REC-0176,Pongan barreras o cámaras porque ese vertedero ilegal crece cada semana.,Cerro Navia,whatsapp_municipal,18-29
REC-0177,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos. Mi vecino Patricia Muñoz puede confirmar esto.,Estación Central,whatsapp_municipal,60+
REC-0178,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,El Bosque,consulta_web,45-59
REC-0179,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,,whatsapp_municipal,
REC-0180,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,Estación Central,buzón_vecinal,60+
REC-0181,"EL CARTONERO DEJA DESORDEN CUANDO REVISA LAS BOLSAS, PERO QUITARLO NO RESUELVE NADA.",,whatsapp_municipal,
REC-0182,Podrían organizar ferias de trueque y reparación en vez de botar todo.,,cabildo,
REC-0183,En el sitio eriazo de cancha del barrio botan colchones y escombros todas las noches.,,whatsapp_municipal,
REC-0184,Pusieron un punto limpio pero está mal ubicado y casi nadie sabe que existe.,Cerro Navia,consulta_web,30-44
REC-0185,Hay gente que viene de otras comunas a dejar basura en la esquina.,Maipú,consulta_web,60+
REC-0186,"La compostera ayuda a la huerta, pero el olor tiene chatos a los vecinos.",Renca,whatsapp_municipal,45-59
REC-0187,el camión pasa cuando quiere y las bolsas quedan dos días en la calle.,San José de Maipo,consulta_web,60+
REC-0188,Pusieron un punto limpio pero está mal ubicado y casi nadie sabe que existe.,Estación Central,whatsapp_municipal,45-59
REC-0189,"Faltan contenedores para vidrio en villa El Sol, el más cercano queda lejísimos.",,consulta_web,
REC-0190,"Hay que educar, aunque también facilitar el sistema; no puede depender solo de la buena voluntad. Esto pasa frente a Las Parcelas 1192.",,cabildo,
REC-0191,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito.",,cabildo,
REC-0192,En el sitio eriazo de plaza Los Copihues botan colchones y escombros todas las noches.,Pudahuel,formulario_papel,45-59
REC-0193,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada.",San Joaquín,cabildo,30-44
REC-0194,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",Lo Espejo,whatsapp_municipal,45-59
REC-0195,"En mi casa separamos hace años, pero varios vecinos todavía tiran todo junto. Esto pasa frente a El Molino 4889.",Renca,buzón_vecinal,45-59
REC-0196,"El contenedor nuevo funciona bien, ojalá lo retiren antes de que colapse.",San José de Maipo,consulta_web,18-29
REC-0197,Podrían organizar ferias de trueque y reparación en vez de botar todo.,Pudahuel,cabildo,45-59
REC-0198,"Separar sirve, supongo, aunque después el camión junta todo y uno queda de payaso!!!",,whatsapp_municipal,
REC-0199,Los recicladores de base hacen una pega enorme y deberían tener apoyo municipal.,Santiago,consulta_web,30-44
REC-0200,No voy a separar mientras las empresas sigan llenando todo de plástico; no carguen la responsabilidad al vecino.,Peñalolén,whatsapp_municipal,45-59
REC-0201,"Hay conflicto por el ruido de los carros temprano, se necesita acordar horarios.",,cabildo,
REC-0202,Pusieron un punto limpio pero está mal ubicado y casi nadie sabe que existe.,Pudahuel,consulta_web,45-59
REC-0203,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito.",Huechuraba,whatsapp_municipal,45-59
REC-0204,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada.",Huechuraba,formulario_papel,30-44
REC-0205,"La compostera comunitaria es buena idea, pero hay que controlar olores y moscas. Dejé el reclamo a nombre de María González, RUT 21.530.936-4.",,formulario_papel,
REC-0206,Podrían organizar ferias de trueque y reparación en vez de botar todo. Me pueden llamar al +569 3395 4804.,Recoleta,formulario_papel,30-44
REC-0207,Hace falta un lugar para dejar muebles que todavía sirven.,Santiago,formulario_papel,45-59
REC-0208,El camión pasa cuando quiere y las bolsas quedan dos días en la calle.,Maipú,cabildo,60+
REC-0209,"Reciclar está bien, pero primero deberíamos reducir envases y reutilizar.",Lo Espejo,consulta_web,30-44
REC-0210,"El contenedor nuevo funciona bien, ojalá lo retiren antes de que colapse.",,consulta_web,
REC-0211,QUIERO SABER POR LOS TALLERES DEPORTIVOS.,Recoleta,whatsapp_municipal,30-44
REC-0212,Quiero compostar pero vivo en depto y no tengo dónde llevar los orgánicos.,San Joaquín,buzón_vecinal,60+
REC-0213,Cuando el camión cumple el horario se nota mucho más limpio el barrio.,Recoleta,formulario_papel,18-29
REC-0214,"Faltan contenedores para vidrio en plaza Los Copihues, el más cercano queda lejísimos.",Huechuraba,formulario_papel,18-29
REC-0215,"En mi casa separamos hace años, pero varios vecinos todavía tiran todo junto.",San Joaquín,buzón_vecinal,60+
REC-0216,"HAY CONFLICTO POR EL RUIDO DE LOS CARROS TEMPRANO, SE NECESITA ACORDAR HORARIOS. Mi vecino Felipe Soto puede confirmar esto.",Maipú,cabildo,45-59
REC-0217,Los recicladores de base hacen una pega enorme y deberían tener apoyo municipal.,,consulta_web,
REC-0218,"Hay conflicto por el ruido de los carros temprano, se necesita acordar horarios.",San Joaquín,consulta_web,18-29
REC-0219,"La compostera comunitaria es buena idea, pero hay que controlar olores y moscas.",Quilicura,whatsapp_municipal,60+
REC-0220,Prefiero que cobren a quienes producen envases antes que hacer otra campaña para culpabilizar a la gente.,,cabildo,
REC-0221,"La muni limpia el microbasural y a los tres días está igual, falta fiscalización.",Pudahuel,whatsapp_municipal,45-59
REC-0222,Hay que educar aunque también facilitar el sistema; no puede depender solo de la buena voluntad.,La Florida,cabildo,60+
REC-0223,Hace falta un lugar para dejar muebles que todavía sirven.,,whatsapp_municipal,
REC-0224,Los puntos limpios son greenwashing si después mezclan todo en el mismo camión.,,formulario_papel,
REC-0225,Los recicladores de base hacen una pega enorme y deberían tener apoyo municipal.,Estación Central,whatsapp_municipal,60+
REC-0226,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada.",,whatsapp_municipal,
REC-0227,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito.",,cabildo,
REC-0228,"El punto limpio siempre está lleno, al final la gente deja todo afuera.",Maipú,whatsapp_municipal,30-44
REC-0229,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito.",Santiago,formulario_papel,18-29
REC-0230,Con los restos de la feria podríamos hacer compost para las áreas verdes.,,consulta_web,
REC-0231,"El contenedor nuevo funciona bien, ojalá lo retiren antes de que colapse.",,cabildo,
REC-0232,"EL RETIRO DIFERENCIADO DEJÓ DE PASAR HACE SEMANAS, ASÍ NADIE MANTIENE EL HÁBITO.",,cabildo,
REC-0233,Los puntos limpios son greenwashing si después mezclan todo en el mismo camión.,Santiago,consulta_web,45-59
REC-0234,Los puntos limpios son greenwashing si después mezclan todo en el mismo camión.,San José de Maipo,cabildo,18-29
REC-0235,,Cerro Navia,whatsapp_municipal,18-29
REC-0236,Cuando el camión cumple el horario se nota mucho más limpio el barrio.,,buzón_vecinal,
REC-0237,En el sitio eriazo de pasaje Las Lilas botan colchones y escombros todas las noches.,Recoleta,consulta_web,18-29
REC-0238,El camión pasa cuando quiere y las bolsas quedan dos días en la calle!!!,Cerro Navia,cabildo,45-59
REC-0239,¿Cuándo arreglan la vereda de mi calle?,Puente Alto,whatsapp_municipal,18-29
REC-0240,Los puntos limpios son greenwashing si después mezclan todo en el mismo camión.,,buzón_vecinal,
REC-0241,Con los restos de la feria podríamos hacer compost para las áreas verdes.,Huechuraba,buzón_vecinal,18-29
REC-0242,"El cartonero deja desorden cuando revisa las bolsas, pero quitarlo no resuelve nada.",Pudahuel,formulario_papel,45-59
REC-0243,"El retiro diferenciado dejó de pasar hace semanas, así nadie mantiene el hábito!!!",,buzón_vecinal,
REC-0244,"No sirve otra campaña con folletos, hagan talleres en colegios y juntas de vecinos.",,consulta_web,
REC-0245,Pusieron un punto limpio pero está mal ubicado y casi nadie sabe que existe.,Pudahuel,whatsapp_municipal,60+
REC-0246,¿Cuándo arreglan la vereda de mi calle?,,buzón_vecinal,
REC-0247,"Faltan contenedores para vidrio en villa El Sol, el más cercano queda lejísimos.",San Joaquín,cabildo,18-29
