id,tema,subtema,lugar,tono,es_ambiguo,motivo_ambiguedad,contiene_pii,es_disenso,es_duplicado,id_origen_duplicado
REC-0033,compostaje y residuos orgánicos,beneficio ambiental y externalidades,,mixto,1,Contiene simultáneamente una evaluación positiva y una queja vecinal.,0,0,0,
REC-0034,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0035,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
REC-0036,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0037,economía circular y reutilización,economía circular,,positivo,0,,0,0,0,
REC-0038,retiro domiciliario y frecuencia del camión,retiro domiciliario,,negativo,0,,0,0,0,
REC-0039,educación y cultura del reciclaje,responsabilidad empresarial,,neutro,0,,0,1,0,
REC-0040,puntos limpios y contenedores,puntos limpios,pasaje Las Lilas,negativo,0,,0,0,0,
REC-0041,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0042,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0043,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0044,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0045,retiro domiciliario y frecuencia del camión,retiro domiciliario,,positivo,0,,0,0,0,
REC-0046,retiro domiciliario y frecuencia del camión,retiro domiciliario,,positivo,0,,0,0,0,
REC-0047,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0048,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0049,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,1,290
REC-0050,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0051,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0052,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0053,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0054,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0055,retiro domiciliario y frecuencia del camión,retiro domiciliario,,positivo,0,,0,0,0,
REC-0056,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
REC-0057,compostaje y residuos orgánicos,compostaje,,neutro,0,,1,0,0,
REC-0058,educación y cultura del reciclaje,responsabilidad empresarial,,neutro,0,,0,1,0,
REC-0059,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,0,
REC-0060,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0061,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0062,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0063,compostaje y residuos orgánicos,beneficio ambiental y externalidades,,mixto,1,Contiene simultáneamente una evaluación positiva y una queja vecinal.,0,0,0,
REC-0064,compostaje y residuos orgánicos,compostaje,,neutro,0,,1,0,0,
REC-0065,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0066,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0067,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0068,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0069,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0070,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0071,puntos limpios y contenedores,puntos limpios,,negativo,0,,0,0,0,
REC-0072,retiro domiciliario y frecuencia del camión,retiro domiciliario,,positivo,0,,0,0,0,
REC-0073,economía circular y reutilización,responsabilidad extendida del productor,,neutro,0,,0,1,0,
REC-0074,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0075,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0076,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0077,recicladores de base,recicladores de base,,neutro,0,,1,0,0,
REC-0078,puntos limpios y contenedores,puntos limpios,feria de los sábados,negativo,0,,0,0,0,
REC-0079,microbasurales y vertederos ilegales,microbasurales,pasaje Las Lilas,neutro,0,,0,0,0,
REC-0080,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0081,compostaje y residuos orgánicos,compostaje,,negativo,0,,0,0,0,
REC-0082,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0083,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0084,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0085,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0086,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0087,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0088,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0089,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0090,puntos limpios y contenedores,puntos limpios,cancha del barrio,negativo,0,,0,0,0,
REC-0091,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0092,puntos limpios y contenedores,puntos limpios,,neutro,0,,1,0,1,355
REC-0093,retiro domiciliario y frecuencia del camión,desconfianza en la trazabilidad,,mixto,1,Expresa una adhesión débil al reciclaje junto con escepticismo y posible sarcasmo.,0,0,0,
REC-0094,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0095,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,0,
REC-0096,compostaje y residuos orgánicos,compostaje,,negativo,0,,1,0,0,
REC-0097,microbasurales y vertederos ilegales,microbasurales,paradero 14,neutro,0,,0,0,0,
REC-0098,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0099,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0100,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0101,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,1,0,0,
REC-0102,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0103,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0104,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0105,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0106,compostaje y residuos orgánicos,compostaje,,negativo,0,,0,0,0,
REC-0107,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0108,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0109,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0110,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0111,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0112,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0113,retiro domiciliario y frecuencia del camión,retiro domiciliario,,negativo,0,,0,0,0,
REC-0114,compostaje y residuos orgánicos,compostaje,,negativo,0,,0,0,0,
REC-0115,compostaje y residuos orgánicos,compostaje,,negativo,0,,0,0,0,
REC-0116,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,1,0,1,176
REC-0117,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0118,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0119,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0120,recicladores de base,recicladores de base,,neutro,0,,1,0,0,
REC-0121,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0122,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0123,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0124,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0125,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0126,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0127,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0128,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0129,educación y cultura del reciclaje,responsabilidad empresarial,,neutro,0,,0,1,0,
REC-0130,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0131,economía circular y reutilización,economía circular,,positivo,0,,0,0,0,
REC-0132,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0133,microbasurales y vertederos ilegales,microbasurales,plaza Los Copihues,neutro,0,,0,0,0,
REC-0134,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,1,0,0,
REC-0135,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0136,puntos limpios y contenedores,ubicación y educación,,mixto,1,"El elogio es irónico y mezcla infraestructura, acceso y educación ambiental.",0,0,0,
REC-0137,puntos limpios y contenedores,puntos limpios,,negativo,0,,0,0,0,
REC-0138,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
REC-0139,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
REC-0140,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0141,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0142,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,0,
REC-0143,retiro domiciliario y frecuencia del camión,retiro domiciliario,,negativo,0,,0,0,0,
REC-0144,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0145,puntos limpios y contenedores,puntos limpios,,neutro,0,,1,0,0,
REC-0146,puntos limpios y contenedores,puntos limpios,,neutro,0,,1,0,0,
REC-0147,compostaje y residuos orgánicos,compostaje,,negativo,0,,0,0,0,
REC-0148,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0149,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0150,puntos limpios y contenedores,puntos limpios,paradero 14,negativo,0,,0,0,0,
REC-0151,microbasurales y vertederos ilegales,microbasurales,cancha del barrio,neutro,0,,0,0,0,
REC-0152,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0153,economía circular y reutilización,economía circular,,positivo,0,,0,0,0,
REC-0154,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,0,
REC-0155,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0156,compostaje y residuos orgánicos,compostaje,,negativo,0,,0,0,0,
REC-0157,puntos limpios y contenedores,puntos limpios,villa El Sol,negativo,0,,0,0,0,
REC-0158,puntos limpios y contenedores,ubicación y educación,,mixto,1,"El elogio es irónico y mezcla infraestructura, acceso y educación ambiental.",0,0,0,
REC-0159,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0160,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0161,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0162,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0163,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0164,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0165,puntos limpios y contenedores,puntos limpios,,negativo,0,,0,0,0,
REC-0166,compostaje y residuos orgánicos,beneficio ambiental y externalidades,,mixto,1,Contiene simultáneamente una evaluación positiva y una queja vecinal.,0,0,0,
REC-0167,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0168,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0169,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0170,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0171,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,0,
REC-0172,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0173,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,1,0,0,
REC-0174,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
REC-0175,retiro domiciliario y frecuencia del camión,retiro domiciliario,,negativo,0,,0,0,0,
REC-0176,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0177,compostaje y residuos orgánicos,compostaje,,neutro,0,,1,0,0,
REC-0178,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0179,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0180,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0181,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0182,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0183,microbasurales y vertederos ilegales,microbasurales,cancha del barrio,neutro,0,,0,0,0,
REC-0184,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0185,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0186,compostaje y residuos orgánicos,beneficio ambiental y externalidades,,mixto,1,Contiene simultáneamente una evaluación positiva y una queja vecinal.,0,0,0,
REC-0187,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0188,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0189,puntos limpios y contenedores,puntos limpios,villa El Sol,negativo,0,,0,0,0,
REC-0190,educación y cultura del reciclaje,educación,,neutro,0,,1,0,0,
REC-0191,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0192,microbasurales y vertederos ilegales,microbasurales,plaza Los Copihues,neutro,0,,0,0,0,
REC-0193,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0194,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0195,educación y cultura del reciclaje,educación,,neutro,0,,1,0,0,
REC-0196,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0197,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0198,retiro domiciliario y frecuencia del camión,desconfianza en la trazabilidad,,mixto,1,Expresa una adhesión débil al reciclaje junto con escepticismo y posible sarcasmo.,0,0,0,
REC-0199,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0200,educación y cultura del reciclaje,responsabilidad empresarial,,neutro,0,,0,1,0,
REC-0201,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0202,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0203,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0204,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0205,compostaje y residuos orgánicos,compostaje,,positivo,0,,1,0,0,
REC-0206,economía circular y reutilización,economía circular,,neutro,0,,1,0,0,
REC-0207,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0208,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0209,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0210,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0211,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0212,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0213,retiro domiciliario y frecuencia del camión,retiro domiciliario,,positivo,0,,0,0,0,
REC-0214,puntos limpios y contenedores,puntos limpios,plaza Los Copihues,negativo,0,,0,0,0,
REC-0215,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0216,recicladores de base,recicladores de base,,neutro,0,,1,0,0,
REC-0217,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0218,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0219,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,0,
REC-0220,economía circular y reutilización,responsabilidad extendida del productor,,neutro,0,,0,1,0,
REC-0221,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0222,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0223,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0224,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,0,
REC-0225,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0226,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0227,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0228,puntos limpios y contenedores,puntos limpios,,negativo,0,,0,0,0,
REC-0229,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0230,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0231,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0232,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0233,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,0,
REC-0234,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,0,
REC-0235,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
REC-0236,retiro domiciliario y frecuencia del camión,retiro domiciliario,,positivo,0,,0,0,0,
REC-0237,microbasurales y vertederos ilegales,microbasurales,pasaje Las Lilas,neutro,0,,0,0,0,
REC-0238,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0239,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0240,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,0,
REC-0241,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0242,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0243,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0244,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0245,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0246,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0247,puntos limpios y contenedores,puntos limpios,villa El Sol,negativo,0,,0,0,0,
REC-0248,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0249,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0250,economía circular y reutilización,economía circular,,positivo,0,,0,0,0,
REC-0251,retiro domiciliario y frecuencia del camión,retiro domiciliario,,negativo,0,,0,0,0,
REC-0252,economía circular y reutilización,economía circular,,positivo,0,,0,0,0,
REC-0253,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0254,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0255,puntos limpios y contenedores,puntos limpios,,negativo,0,,0,0,0,
REC-0256,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0257,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0258,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0259,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0260,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0261,compostaje y residuos orgánicos,compostaje,,positivo,0,,1,0,0,
REC-0262,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,0,
REC-0263,retiro domiciliario y frecuencia del camión,desconfianza en la trazabilidad,,mixto,1,Expresa una adhesión débil al reciclaje junto con escepticismo y posible sarcasmo.,0,0,0,
REC-0264,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0265,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0266,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0267,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0268,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0269,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0270,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0271,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0272,retiro domiciliario y frecuencia del camión,desconfianza en la trazabilidad,,mixto,1,Expresa una adhesión débil al reciclaje junto con escepticismo y posible sarcasmo.,0,0,0,
REC-0273,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0274,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,0,
REC-0275,compostaje y residuos orgánicos,compostaje,,neutro,0,,1,0,1,5
REC-0276,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0277,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0278,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,1,0,0,
REC-0279,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0280,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0281,economía circular y reutilización,economía circular,,neutro,0,,0,0,0,
REC-0282,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0283,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0284,economía circular y reutilización,economía circular,,neutro,0,,1,0,0,
REC-0285,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0286,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,1,262
REC-0287,economía circular y reutilización,economía circular,,negativo,0,,0,0,0,
REC-0288,puntos limpios y contenedores,puntos limpios,,negativo,0,,0,0,0,
REC-0289,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,1,0,0,
REC-0290,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0291,educación y cultura del reciclaje,responsabilidad empresarial,,neutro,0,,0,1,1,282
REC-0292,economía circular y reutilización,economía circular,,neutro,0,,0,0,1,19
REC-0293,puntos limpios y contenedores,puntos limpios,,neutro,0,,1,0,0,
REC-0294,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0295,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0296,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,0,
REC-0297,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0298,recicladores de base,recicladores de base,,positivo,0,,0,0,0,
REC-0299,compostaje y residuos orgánicos,compostaje,,positivo,0,,0,0,0,
REC-0300,retiro domiciliario y frecuencia del camión,desconfianza en la trazabilidad,,mixto,1,Expresa una adhesión débil al reciclaje junto con escepticismo y posible sarcasmo.,0,0,0,
REC-0301,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0302,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0303,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0304,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0305,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0306,compostaje y residuos orgánicos,compostaje,,negativo,0,,0,0,0,
REC-0307,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0308,puntos limpios y contenedores,puntos limpios,,positivo,0,,0,0,0,
REC-0309,otra,respuesta vacía o insuficiente,,neutro,0,,0,0,0,
REC-0310,educación y cultura del reciclaje,educación,,neutro,0,,1,0,0,
REC-0311,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,0,
REC-0312,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0313,educación y cultura del reciclaje,responsabilidad empresarial,,neutro,0,,0,1,0,
REC-0314,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0315,puntos limpios y contenedores,escepticismo sobre trazabilidad,,neutro,0,,0,1,1,367
REC-0316,retiro domiciliario y frecuencia del camión,retiro domiciliario,,neutro,0,,0,0,0,
REC-0317,puntos limpios y contenedores,puntos limpios,,neutro,0,,0,0,0,
REC-0318,economía circular y reutilización,economía circular,,neutro,0,,1,0,0,
REC-0319,microbasurales y vertederos ilegales,microbasurales,,negativo,0,,0,0,0,
REC-0320,educación y cultura del reciclaje,responsabilidad empresarial,,neutro,0,,0,1,0,
REC-0321,retiro domiciliario y frecuencia del camión,retiro domiciliario,,negativo,0,,0,0,0,
REC-0322,otra,fuera de tema,,neutro,0,,0,0,0,
REC-0323,puntos limpios y contenedores,puntos limpios,cancha del barrio,negativo,0,,0,0,0,
REC-0324,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0325,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0326,recicladores de base,recicladores de base,,neutro,0,,0,0,0,
REC-0327,compostaje y residuos orgánicos,compostaje,,neutro,0,,0,0,0,
REC-0328,compostaje y residuos orgánicos,compostaje,,neutro,0,,1,0,0,
REC-0329,educación y cultura del reciclaje,educación,,neutro,0,,0,0,0,
REC-0330,microbasurales y vertederos ilegales,microbasurales,,neutro,0,,0,0,0,
REC-0331,recicladores de base,recicladores de base,,neutro,0,,1,0,0,
