id,respuesta,comuna,canal,grupo_edad
SEG-0029,En cancha del barrio venden droga como si nada y en la noche se escuchan balazos.,Estación Central,whatsapp_municipal,30-44
SEG-0030,"Otra vez se llevaron cables en pasaje Las Lilas, quedamos sin luz toda la cuadra.",Renca,buzón_vecinal,45-59
SEG-0031,Necesitamos más patrullaje de verdad no una vuelta rápida para la foto.,Renca,cabildo,30-44
SEG-0032,"Carabineros pasa más seguido y se nota, aunque todavía falta coordinación con seguridad municipal.",,buzón_vecinal,
SEG-0033,"Hay una familia con problemas graves y el barrio solo comenta, falta apoyo profesional.",Lo Espejo,buzón_vecinal,30-44
SEG-0034,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",El Bosque,buzón_vecinal,60+
SEG-0035,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",Maipú,cabildo,30-44
SEG-0036,La esquina ta llena de basura y peleas todos los fines de semana.,,buzón_vecinal,
SEG-0037,La esquina está llena de basura y peleas todos los fines de semana.,,whatsapp_municipal,
SEG-0038,Quiero saber por los talleres deportivos.,,consulta_web,
SEG-0039,"Ponen música a todo chancho y cuando uno reclama se ponen violentos. Dejé el reclamo a nombre de Luis Araya, RUT 15.244.747-5.",Estación Central,whatsapp_municipal,18-29
SEG-0040,Gracias por escuchar a los vecinos.,Lo Espejo,whatsapp_municipal,45-59
SEG-0041,El sitio eriazo de plaza Los Copihues está lleno de matorrales y da miedo pasar.,Huechuraba,whatsapp_municipal,60+
SEG-0042,El sitio eriazo de cancha del barrio está lleno de matorrales y da miedo pasar.,,formulario_papel,
SEG-0043,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar.",Puente Alto,whatsapp_municipal,45-59
SEG-0044,"Faltan luces en el pasaje, ahí se esconden para asaltar.",,formulario_papel,
SEG-0045,La esquina está llena de basura y peleas todos los fines de semana.,Quilicura,formulario_papel,60+
SEG-0046,"La plaza está oscurísima, cambien las luminarias antes de poner más cámaras.",Maipú,buzón_vecinal,18-29
SEG-0047,"Los portonazos están brigidos, uno ya entra mirando para todos lados.",,formulario_papel,
SEG-0048,El barrio no está peor; las redes sociales exageran y terminamos desconfiando de todos.,,buzón_vecinal,
SEG-0049,Ponen música a todo chancho y cuando uno reclama se ponen violentos.,,whatsapp_municipal,
SEG-0050,"Otra vez se llevaron cables en pasaje Las Lilas, quedamos sin luz toda la cuadra.",,whatsapp_municipal,
SEG-0051,Me robaron el celu saliendo del metro y no había nadie patrullando.,La Florida,whatsapp_municipal,30-44
SEG-0052,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",Huechuraba,consulta_web,18-29
SEG-0053,"el comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",El Bosque,formulario_papel,18-29
SEG-0054,"el barrio no es tan peligroso como dicen, pero la sensación de inseguridad es real.",Peñalolén,cabildo,60+
SEG-0055,"El barrio no es tan peligroso como dicen, pero la sensación de inseguridad es real.",Santiago,formulario_papel,30-44
SEG-0056,"La plaza ta oscurísima, cambien las luminarias antes de poner más cámaras. Me pueden llamar al +569 7401 4396.",Recoleta,cabildo,18-29
SEG-0057,"Hay una familia con problemas graves y el barrio solo comenta, falta apoyo profesional.",,cabildo,
SEG-0058,Desde que pusieron cámaras ya no se juntan en la plaza; quedó más tranquila pero ahora parece cárcel.,Paine,cabildo,18-29
SEG-0059,"En la casa de al lado se escuchan gritos y golpes, alguien debería intervenir con cuidado.",Pudahuel,formulario_papel,60+
SEG-0060,"no me ha pasado nada, pero igual no salgo después de las nueve por miedo.",,buzón_vecinal,
SEG-0061,"No me ha pasado nada, pero igual no salgo después de las nueve por miedo.",La Pintana,cabildo,18-29
SEG-0062,"Arreglaron la plaza y mejoró harto, ahora sí se ve gente usando el espacio.",Puente Alto,cabildo,60+
SEG-0063,"Otra vez se llevaron cables en villa El Sol, quedamos sin luz toda la cuadra.",Paine,formulario_papel,18-29
SEG-0064,"Arreglaron la plaza y mejoró harto, ahora sí se ve gente usando el espacio.",,cabildo,
SEG-0065,"La plaza está oscurísima, cambien las luminarias antes de poner más cámaras. Me pueden llamar al +569 4073 5351.",,consulta_web,
SEG-0066,"NECESITAMOS MÁS PATRULLAJE DE VERDAD, NO UNA VUELTA RÁPIDA PARA LA FOTO.",Puente Alto,consulta_web,18-29
SEG-0067,"HAY UNA FAMILIA CON PROBLEMAS GRAVES Y EL BARRIO SOLO COMENTA, FALTA APOYO PROFESIONAL.",,cabildo,
SEG-0068,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar.",El Bosque,buzón_vecinal,30-44
SEG-0069,"Otra vez se llevaron cables en feria de los sábados, quedamos sin luz toda la cuadra.",San José de Maipo,cabildo,30-44
SEG-0070,"Otra vez se llevaron cables en feria de los sábados, quedamos sin luz toda la cuadra.",Lo Espejo,formulario_papel,30-44
SEG-0071,LA ESQUINA ESTÁ LLENA DE BASURA Y PELEAS TODOS LOS FINES DE SEMANA.,Pudahuel,buzón_vecinal,45-59
SEG-0072,"No me ha pasado nada, pero igual no salgo después de las nueve por miedo.",San José de Maipo,whatsapp_municipal,30-44
SEG-0073,La esquina está llena de basura y peleas todos los fines de semana. Esto pasa frente a Santa Rosa 1361.,Santiago,buzón_vecinal,30-44
SEG-0074,"La plaza está oscurísima, cambien las luminarias antes de poner más cámaras.",Huechuraba,cabildo,45-59
SEG-0075,Siento que todo está peor aunque quizás también influyen las noticias.,El Bosque,buzón_vecinal,45-59
SEG-0076,"Faltan luces en el pasaje, ahí se esconden para asaltar.",Santiago,consulta_web,30-44
SEG-0077,"No me ha pasado nada, pero igual no salgo después de las nueve por miedo.",La Florida,buzón_vecinal,18-29
SEG-0078,"No quiero más cámaras ni controles, el problema se arregla con oportunidades y trabajo comunitario.",Pudahuel,buzón_vecinal,45-59
SEG-0079,"Más patrullas no siempre significa más seguridad, a varios jóvenes los controlan solo por cómo se ven.",San Joaquín,consulta_web,45-59
SEG-0080,"Desde que llegaron esos narcos el barrio cambió, nadie deja jugar a los niños afuera.",San Joaquín,cabildo,60+
SEG-0081,"Hay una familia con problemas graves y el barrio solo comenta, falta apoyo profesional.",El Bosque,formulario_papel,30-44
SEG-0082,"El barrio no es tan peligroso como dicen, pero la sensación de inseguridad es real.",Recoleta,formulario_papel,60+
SEG-0083,"No me ha pasado nada, pero igual no salgo después de las nueve por miedo. Mi vecino Juan Pérez puede confirmar esto.",Pudahuel,consulta_web,45-59
SEG-0084,"Arreglaron la plaza y mejoró harto, ahora sí se ve gente usando el espacio!!!",,formulario_papel,
SEG-0085,"En la casa de al lado se escuchan gritos y golpes, alguien debería intervenir con cuidado.",Lo Espejo,buzón_vecinal,18-29
SEG-0086,"No quiero más vigilancia, prefiero iluminación y trabajo con los jóvenes.",Santiago,buzón_vecinal,30-44
SEG-0087,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",Pudahuel,cabildo,18-29
SEG-0088,Me robaron el celu saliendo del metro y no había nadie patrullando.,Lo Espejo,whatsapp_municipal,60+
SEG-0089,"La plaza está oscura y por eso se presta pa carretes, basura y asaltos; no sé si faltan luces o patrullas.",Huechuraba,whatsapp_municipal,18-29
SEG-0090,"Se metieron a dos casas esta semana, necesitamos alguna medida concreta.",Recoleta,consulta_web,30-44
SEG-0091,"La casa de la esquina funciona como punto de venta, todos sabemos menos la muni parece.",Huechuraba,formulario_papel,18-29
SEG-0092,La plaza está oscurísima cambien las luminarias antes de poner más cámaras.,,whatsapp_municipal,
SEG-0093,"No quiero más vigilancia, prefiero iluminación y trabajo con los jóvenes.",,formulario_papel,
SEG-0094,La esquina está llena de basura y peleas todos los fines de semana.,San José de Maipo,cabildo,45-59
SEG-0095,"La convivencia está pésima, cualquier discusión termina en insultos.",,whatsapp_municipal,
SEG-0096,"Los portonazos están brigidos, uno ya entra mirando para todos lados.",Peñalolén,buzón_vecinal,18-29
SEG-0097,Ponen música a todo chancho y cuando uno reclama se ponen violentos.,,formulario_papel,
SEG-0098,Los carretes duran hasta las 5 am y nadie fiscaliza imposible dormir.,El Bosque,cabildo,18-29
SEG-0099,"Necesitamos más patrullaje de verdad, no una vuelta rápida para la foto. Esto pasa frente a La Estrella 3271.",San José de Maipo,buzón_vecinal,60+
SEG-0100,Hay cabros ofreciendo pasta cerca del colegio esto ya se salió de control.,Quilicura,whatsapp_municipal,60+
SEG-0101,"Arreglaron la plaza y mejoró harto, ahora sí se ve gente usando el espacio.",,cabildo,
SEG-0102,"carabineros pasa más seguido y se nota, aunque todavía falta coordinación con seguridad municipal.",Quilicura,consulta_web,30-44
SEG-0103,En villa El Sol venden droga como si nada y en la noche se escuchan balazos.,Maipú,cabildo,18-29
SEG-0104,En feria de los sábados venden droga como si nada y en la noche se escuchan balazos.,San José de Maipo,consulta_web,18-29
SEG-0105,"Necesitamos más patrullaje de verdad, no una vuelta rápida para la foto.",Quilicura,consulta_web,30-44
SEG-0106,,,cabildo,
SEG-0107,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",Huechuraba,buzón_vecinal,30-44
SEG-0108,"MI VECINO AMENAZA A TODOS POR EL ESTACIONAMIENTO, YA NO SE PUEDE CONVERSAR. Esto pasa frente a La Estrella 500.",Maipú,whatsapp_municipal,30-44
SEG-0109,"Desde que llegaron esos narcos el barrio cambió, nadie deja jugar a los niños afuera.",Recoleta,buzón_vecinal,30-44
SEG-0110,"Otra vez se llevaron cables en plaza Los Copihues, quedamos sin luz toda la cuadra.",,consulta_web,
SEG-0111,"La casa de la esquina funciona como punto de venta, todos sabemos menos la muni parece.",,formulario_papel,
SEG-0112,Siento que todo está peor aunque quizás también influyen las noticias.,Pudahuel,consulta_web,45-59
SEG-0113,"OTRA VEZ SE LLEVARON CABLES EN PARADERO 14, QUEDAMOS SIN LUZ TODA LA CUADRA.",Santiago,whatsapp_municipal,18-29
SEG-0114,"LA PLAZA ESTÁ OSCURÍSIMA, CAMBIEN LAS LUMINARIAS ANTES DE PONER MÁS CÁMARAS.",El Bosque,whatsapp_municipal,18-29
SEG-0115,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",Puente Alto,consulta_web,60+
SEG-0116,El barrio no está peor; las redes sociales exageran y terminamos desconfiando de todos.,,formulario_papel,
SEG-0117,"Qué bueno que nunca pasa nada por acá, salvo los portonazos de todas las semanas!!!",Puente Alto,cabildo,60+
SEG-0118,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar. Dejé el reclamo a nombre de Felipe Soto, RUT 23.470.579-4.",,cabildo,
SEG-0119,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar. Me pueden llamar al +569 5161 7421.",Peñalolén,whatsapp_municipal,60+
SEG-0120,"Más patrullas no siempre significa más seguridad, a varios jóvenes los controlan solo por cómo se ven.",El Bosque,whatsapp_municipal,30-44
SEG-0121,"Desde que pusieron cámaras ya no se juntan en la plaza; quedó más tranquila, pero ahora parece cárcel.",,cabildo,
SEG-0122,"Faltan luces en el pasaje, ahí se esconden pa asaltar.",Paine,buzón_vecinal,45-59
SEG-0123,.,,consulta_web,
SEG-0124,"Arreglaron la plaza y mejoró harto, ahora sí se ve gente usando el espacio.",Estación Central,buzón_vecinal,45-59
SEG-0125,La esquina está llena de basura y peleas todos los fines de semana.,El Bosque,buzón_vecinal,30-44
SEG-0126,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",,formulario_papel,
SEG-0127,"Los portonazos están brigidos, uno ya entra mirando pa todos lados.",,consulta_web,
SEG-0128,"Hay cabros ofreciendo pasta cerca del colegio, esto ya se salió de control.",San José de Maipo,whatsapp_municipal,45-59
SEG-0129,"EL COMERCIO AMBULANTE DEJÓ LA VEREDA INTRANSITABLE, PERO TAMPOCO ES LLEGAR Y ECHARLOS.",Recoleta,buzón_vecinal,18-29
SEG-0130,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",,formulario_papel,
SEG-0131,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",El Bosque,buzón_vecinal,60+
SEG-0132,Me robaron el celu saliendo del metro y no había nadie patrullando.,,formulario_papel,
SEG-0133,"La convivencia está pésima, cualquier discusión termina en insultos.",La Pintana,buzón_vecinal,18-29
SEG-0134,"NO QUIERO MÁS CÁMARAS NI CONTROLES, EL PROBLEMA SE ARREGLA CON OPORTUNIDADES Y TRABAJO COMUNITARIO.",,cabildo,
SEG-0135,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos!!!",San Joaquín,cabildo,30-44
SEG-0136,"EN LA CASA DE AL LADO SE ESCUCHAN GRITOS Y GOLPES, ALGUIEN DEBERÍA INTERVENIR CON CUIDADO.",La Pintana,consulta_web,45-59
SEG-0137,"Faltan luces en el pasaje, ahí se esconden para asaltar.",Maipú,buzón_vecinal,45-59
SEG-0138,Me robaron el celu saliendo del metro y no había nadie patrullando.,,formulario_papel,
SEG-0139,El sitio eriazo de cancha del barrio está lleno de matorrales y da miedo pasar.,,buzón_vecinal,
SEG-0140,PONEN MÚSICA A TODO CHANCHO Y CUANDO UNO RECLAMA SE PONEN VIOLENTOS. Esto pasa frente a Santa Rosa 318.,,formulario_papel,
SEG-0141,En cancha del barrio venden droga como si nada y en la noche se escuchan balazos.,San Joaquín,formulario_papel,18-29
SEG-0142,"Qué bueno que nunca pasa nada por acá, salvo los portonazos de todas las semanas.",Puente Alto,cabildo,18-29
SEG-0143,En paradero 14 venden droga como si nada y en la noche se escuchan balazos.,Peñalolén,consulta_web,18-29
SEG-0144,"DESDE QUE LLEGARON ESOS NARCOS EL BARRIO CAMBIÓ, NADIE DEJA JUGAR A LOS NIÑOS AFUERA.",El Bosque,whatsapp_municipal,30-44
SEG-0145,"Arreglaron la plaza y mejoró harto, ahora sí se ve gente usando el espacio.",Renca,formulario_papel,60+
SEG-0146,"La convivencia está pésima, cualquier discusión termina en insultos.",,cabildo,
SEG-0147,Necesitamos más áreas verdes.,,buzón_vecinal,
SEG-0148,¿Cuándo arreglan la vereda de mi calle?,San Joaquín,whatsapp_municipal,18-29
SEG-0149,siento que todo está peor aunque quizás también influyen las noticias.,El Bosque,whatsapp_municipal,30-44
SEG-0150,"Arreglaron la plaza y mejoró harto, ahora sí se ve gente usando el espacio. Dejé el reclamo a nombre de Juan Pérez, RUT 21.781.491-4.",Peñalolén,buzón_vecinal,60+
SEG-0151,"La plaza está oscurísima, cambien las luminarias antes de poner más cámaras.",El Bosque,consulta_web,45-59
SEG-0152,"Desde que llegaron esos narcos el barrio cambió, nadie deja jugar a los niños afuera.",Puente Alto,cabildo,30-44
SEG-0153,,Cerro Navia,cabildo,30-44
SEG-0154,"Desde que llegaron esos narcos el barrio cambió, nadie deja jugar a los niños afuera.",El Bosque,cabildo,30-44
SEG-0155,"Desde que llegaron esos narcos el barrio cambió, nadie deja jugar a los niños afuera.",San Joaquín,buzón_vecinal,18-29
SEG-0156,SIENTO QUE TODO ESTÁ PEOR AUNQUE QUIZÁS TAMBIÉN INFLUYEN LAS NOTICIAS.,Lo Espejo,cabildo,45-59
SEG-0157,"Qué bueno que nunca pasa nada por acá, salvo los portonazos de todas las semanas.",,formulario_papel,
SEG-0158,"Hay cabros ofreciendo pasta cerca del colegio, esto ya se salió de control.",San Joaquín,whatsapp_municipal,30-44
SEG-0159,"Desde que llegaron esos narcos el barrio cambió, nadie deja jugar a los niños afuera.",San José de Maipo,consulta_web,30-44
SEG-0160,Gracias por escuchar a los vecinos.,,formulario_papel,
SEG-0161,En feria de los sábados venden droga como si nada y en la noche se escuchan balazos.,San Joaquín,formulario_papel,18-29
SEG-0162,"En la casa de al lado se escuchan gritos y golpes, alguien debería intervenir con cuidado.",Pudahuel,cabildo,30-44
SEG-0163,"No quiero más cámaras ni controles, el problema se arregla con oportunidades y trabajo comunitario.",,consulta_web,
SEG-0164,"La plaza está oscura y por eso se presta pa carretes, basura y asaltos; no sé si faltan luces o patrullas!!!",Estación Central,consulta_web,30-44
SEG-0165,"La plaza está oscura y por eso se presta pa carretes, basura y asaltos; no sé si faltan luces o patrullas.",Recoleta,buzón_vecinal,45-59
SEG-0166,El sitio eriazo de feria de los sábados está lleno de matorrales y da miedo pasar.,Lo Espejo,consulta_web,18-29
SEG-0167,En plaza Los Copihues venden droga como si nada y en la noche se escuchan balazos.,San José de Maipo,formulario_papel,18-29
SEG-0168,"Antes caminaba tranquila, ahora pido que me vayan a buscar al paradero.",Recoleta,formulario_papel,60+
SEG-0169,El sitio eriazo de pasaje Las Lilas está lleno de matorrales y da miedo pasar.,,consulta_web,
SEG-0170,"No quiero más vigilancia, prefiero iluminación y trabajo con los jóvenes.",Peñalolén,consulta_web,60+
SEG-0171,"Faltan luces en el pasaje, ahí se esconden para asaltar.",Pudahuel,formulario_papel,18-29
SEG-0172,La atención del consultorio está muy lenta.,Maipú,cabildo,30-44
SEG-0173,"Otra vez se llevaron cables en padero 14, quedamos sin luz toda la cuadra.",Santiago,buzón_vecinal,30-44
SEG-0174,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",La Pintana,buzón_vecinal,60+
SEG-0175,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",San José de Maipo,formulario_papel,60+
SEG-0176,Necesitamos más áreas verdes.,,cabildo,
SEG-0177,"La plaza está oscura y por eso se presta pa carretes, basura y asaltos; no sé si faltan luces o patrullas.",Pudahuel,buzón_vecinal,45-59
SEG-0178,"No quiero más vigilancia, prefiero iluminación y trabajo con los jóvenes.",Cerro Navia,buzón_vecinal,18-29
SEG-0179,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",Quilicura,whatsapp_municipal,30-44
SEG-0180,La esquina está llena de basura y peleas todos los fines de semana.,La Pintana,whatsapp_municipal,60+
SEG-0181,"Otra vez se llevaron cables en feria de los sábados, quedamos sin luz toda la cuadra.",Paine,buzón_vecinal,60+
SEG-0182,Ponen música a todo chancho y cuando uno reclama se ponen violentos.,Lo Espejo,whatsapp_municipal,30-44
SEG-0183,"Hay una familia con problemas graves y el barrio solo comenta, falta apoyo profesional.",Pudahuel,formulario_papel,45-59
SEG-0184,"Más patrullas no siempre significa más seguridad, a varios jóvenes los controlan solo por cómo se ven.",Lo Espejo,consulta_web,60+
SEG-0185,"La plaza está oscurísima, cambien las luminarias antes de poner más cámaras!!!",Quilicura,buzón_vecinal,30-44
SEG-0186,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar.",Renca,consulta_web,45-59
SEG-0187,"El barrio no es tan peligroso como dicen, pero la sensación de inseguridad es real.",Cerro Navia,cabildo,18-29
SEG-0188,"No me ha pasado nada, pero igual no salgo después de las nueve por miedo. Esto pasa frente a Santa Rosa 1514.",Recoleta,buzón_vecinal,45-59
SEG-0189,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",Maipú,buzón_vecinal,45-59
SEG-0190,El sitio eriazo de feria de los sábados está lleno de matorrales y da miedo pasar.,,whatsapp_municipal,
SEG-0191,Ponen música a todo chancho y cuando uno reclama se ponen violentos.,,whatsapp_municipal,
SEG-0192,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",Huechuraba,whatsapp_municipal,30-44
SEG-0193,El sitio eriazo de paradero 14 está lleno de matorrales y da miedo pasar.,,cabildo,
SEG-0194,"Desde que llegaron esos narcos el barrio cambió, nadie deja jugar a los niños afuera.",,formulario_papel,
SEG-0195,"Necesitamos más patrullaje de verdad, no una vuelta rápida para la foto.",Cerro Navia,consulta_web,45-59
SEG-0196,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar.",Santiago,cabildo,30-44
SEG-0197,En villa El Sol venden droga como si nada y en la noche se escuchan balazos.,Lo Espejo,formulario_papel,45-59
SEG-0198,"Carabineros pasa más seguido y se nota, aunque todavía falta coordinación con seguridad municipal.",Paine,cabildo,60+
SEG-0199,"No quiero más cámaras ni controles, el problema se arregla con oportunidades y trabajo comunitario.",,consulta_web,
SEG-0200,"Necesitamos más patrullaje de verdad, no una vuelta rápida pa la foto.",,formulario_papel,
SEG-0201,"LOS CARRETES DURAN HASTA LAS 5 AM Y NADIE FISCALIZA, IMPOSIBLE DORMIR.",Puente Alto,buzón_vecinal,45-59
SEG-0202,"Otra vez se llevaron cables en cancha del barrio, quedamos sin luz toda la cuadra.",Peñalolén,formulario_papel,30-44
SEG-0203,"La plaza está oscurísima, cambien las luminarias antes de poner más cámaras!!!",,consulta_web,
SEG-0204,"Desde que pusieron cámaras ya no se juntan en la plaza; quedó más tranquila, pero ahora parece cárcel.",Santiago,cabildo,30-44
SEG-0205,"En la casa de al lado se escuchan gritos y golpes, alguien debería intervenir con cuidado.",Renca,cabildo,60+
SEG-0206,No quiero más cámaras ni controles el problema se arregla con oportunidades y trabajo comunitario.,,formulario_papel,
SEG-0207,"Necesitamos más patrullaje de verdad, no una vuelta rápida para la foto.",Lo Espejo,formulario_papel,60+
SEG-0208,"la convivencia está pésima, cualquier discusión termina en insultos.",Estación Central,formulario_papel,45-59
SEG-0209,"LA CONVIVENCIA ESTÁ PÉSIMA, CUALQUIER DISCUSIÓN TERMINA EN INSULTOS.",,formulario_papel,
SEG-0210,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar. Mi vecino Patricia Muñoz puede confirmar esto.",San José de Maipo,buzón_vecinal,30-44
SEG-0211,"Los carretes duran hasta las 5 am y nadie fiscaliza, imposible dormir.",,consulta_web,
SEG-0212,ME ROBARON EL CELU SALIENDO DEL METRO Y NO HABÍA NADIE PATRULLANDO.,El Bosque,whatsapp_municipal,18-29
SEG-0213,"En la casa de al lado se escuchan gritos y golpes, alguien debería intervenir con cuidado.",,consulta_web,
SEG-0214,"La plaza está oscurísima, cambien las luminarias antes de poner más cámaras.",La Pintana,whatsapp_municipal,18-29
SEG-0215,"Antes caminaba tranquila, ahora pido que me vayan a buscar al paradero.",Santiago,formulario_papel,30-44
SEG-0216,En feria de los sábados venden droga como si nada y en la noche se escuchan balazos.,Recoleta,consulta_web,60+
SEG-0217,Quiero saber por los talleres deportivos.,Estación Central,whatsapp_municipal,60+
SEG-0218,En feria de los sábados venden droga como si nada y en la noche se escuchan balazos.,La Pintana,buzón_vecinal,30-44
SEG-0219,Necesitamos más áreas verdes.,,buzón_vecinal,
SEG-0220,El sitio eriazo de paradero 14 está lleno de matorrales y da miedo pasar.,,cabildo,
SEG-0221,No me ha pasado nada pero igual no salgo después de las nueve por miedo.,Recoleta,cabildo,30-44
SEG-0222,"La casa de la esquina funciona como punto de venta, todos sabemos menos la muni parece.",Recoleta,formulario_papel,45-59
SEG-0223,"Las cámaras sirven si alguien las mira, si no son puro adorno.",,cabildo,
SEG-0224,"Las cámaras sirven si alguien las mira, si no son puro adorno. Esto pasa frente a Los Aromos 2567.",Renca,cabildo,18-29
SEG-0225,La esquina está llena de basura y peleas todos los fines de semana. Esto pasa frente a El Molino 4458.,La Pintana,buzón_vecinal,18-29
SEG-0226,Necesitamos más áreas verdes.,Huechuraba,buzón_vecinal,30-44
SEG-0227,"Más patrullas no siempre significa más seguridad, a varios jóvenes los controlan solo por cómo se ven.",Quilicura,consulta_web,30-44
SEG-0228,"En la casa de al lado se escuchan gritos y golpes, alguien debería intervenir con cuidado.",Paine,formulario_papel,60+
SEG-0229,"El barrio no es tan peligroso como dicen, pero la sensación de inseguridad es real.",Peñalolén,whatsapp_municipal,30-44
SEG-0230,"LA CONVIVENCIA ESTÁ PÉSIMA, CUALQUIER DISCUSIÓN TERMINA EN INSULTOS.",,whatsapp_municipal,
SEG-0231,"Mi vecino amenaza a todos por el estacionamiento, ya no se puede conversar.",Lo Espejo,whatsapp_municipal,60+
SEG-0232,no sé,,consulta_web,
SEG-0233,Las cámaras sirven si alguien las mira si no son puro adorno.,Cerro Navia,whatsapp_municipal,30-44
SEG-0234,"El comercio ambulante dejó la vereda intransitable, pero tampoco es llegar y echarlos.",Pudahuel,consulta_web,45-59
SEG-0235,Los portonazos están brigidos uno ya entra mirando para todos lados.,Peñalolén,consulta_web,60+
SEG-0236,"Los portonazos están brigidos, uno ya entra mirando para todos lados.",La Florida,formulario_papel,45-59
SEG-0237,"En la casa de al lado se escuchan gritos y golpes, alguien debería intervenir con cuidado.",Cerro Navia,buzón_vecinal,60+
SEG-0238,Mi vecino amenaza a todos por el estacionamiento ya no se puede conversar.,Lo Espejo,whatsapp_municipal,45-59
